Name of Workout|My Personalized Workout Description|Need changes??
Back Extension|First adjust the machine so it fits you correctly. The top of the pad should be positioned against the top of your thighs. Step onto the machine and position yourself with your feet shoulder width apart and your upper thighs against the top pad. Your upper body should be hanging off the edge of the machine, with your arms crossed over your chest, or your hands behind your head. It is optional but you can also hold a weight plate against your chest, this isn't necessary but you can add weight if you choose to. When ready use your lower back muscles to lift your upper body upwards til your body is straight. Once your body is straight hold this position for one second and then slowly lower your body back down again. Repeat for reps.|
Barbell Row|Grip a barbell or bar with an overhand grip. You will want to lean your upper body forward with the bar hanging straight from your arms. Begin to pull the bar towards you. Pull the bar as high up as possible so it touches your abs or your chest. Lower the bar back to its starting position with control. Repeat for reps|
Barbell Shrug|While standing upright, hold a barbell or bar with straight arms in front of your body. To begin lift your shoulders straight up as high as you can. Once at your peak lower the bar back to its starting position with control Repeat for reps.|
Block Snatch|Grab two blocks that you can put on both sides of you. Lay a barbell on two blocks so that the barbell is just above knee height. Lean forward and grab the bar with a wide overhand grip. Now to begin lift the bar in a smooth but fast motion by extending your legs and knees simultaneously. Once the bar has reached its maximum speed, you will squat down while holding the bar and "catch" the bar on straight arms over your head. Once you have control of the bar and it is at a standstill you will stand straight up. Lower the bar down to the blocks with control and repeat for reps|
Cable Close Grip Seated Row|Attach a narrow handle to the cable row and assume your starting position Its important that you maintain an upright posture with your chest out and your shoulders back. Now to begin lean forward slightly and let your scapula move freely by letting them slide forward Now being to retract your shoulder blades and pull the handle towards your lower abdomen while leaning back ever so slightly Now return to your starting position by extending your arms and leaning forward. Repeat for reps.|
Cable Wide Grip Seated Row|Grip a bar that is slightly wider than shoulder width and assume your starting position. Begin to pull the handle towards your abdomen all while leaning backwards ever so slightly. Then return to your starting position by extending your arms and leaning forward. Repeat for reps.|
Chin-Up|Grip a bar with a grip where your palms are facing you. Keep your chest up and look at the bar. Now begin to pull yourself up until your chin is over the bar or the bar touches your upper chest. Lower yourself back downwards with control until your arms are fully extended and repeat for reps.|
Clean|Step up close to the bar or barbell so that it is located just over the middle of your foot. Now lean forward and grip the bar with an overhand grip that is about shoulder-width apart. Lift the bar in a smooth but fast motion. While you are lifting you are then going to squat down and you will lift the bar so it ends up sitting on the front of your shoulders. Once it rests on the front of your shoulders you are then going to stand up on straight legs. Once fully stood up you will then lower the bar in front of you down to the ground with control. Repeat for reps.|
Clean and Jerk|Step up close to the bar or barbell so that it is just over the middle of your foot. Now you will lean forward and grip the bar with an overhand grip, your grip should just about be shoulder-width apart. Now lift the bar in a smooth but fast motion. As you begin to lift you will simultaneously squat down while lifting the bar so it rests on the front of your shoulders. Once the bar is resting on your shoulders you will stand up on straight legs again. Now that you are standing up you will want to slightly bend your knees, and then forcefully extend them to push the bar up. While this is happening you will then duck under the bar and "catch" it on straight arms, with your legs in a lunge position. Once in the lunge position you will slowly begin to move the foot behind you forward until you are standing with your feet side by side. Once your feet are side by side and your arms are straight above you holding the bar you will then lower the back back in front of you with control. Repeat for reps.|
Deadlift|Step up close to the bar so that it is just over the middle of your foot. Now lean forward, and grip the bar. As you begin to lift the bar try to pull the bar close to your body while maintaining a straight back, do this until you are standing straight. Now at a standing position begin to lower the bar back to the ground with control. Repeat for reps.|
Deficit Deadlift|We recommend that you grab a weight plate to stand on for your elevation in this exercise. You will want to stand close to the bar, so that it is just over the middle of your foot. Now begin to lean forward, and grip the bar. As you begin to lift the bar pull the bar close to your body, while trying to maintain a straight back, do this until you are standing straight. Now begin to lower the bar back to the ground with control. Repeat for reps.|
Dumbbell Deadlift|Hold a dumbbell in each hand, and while standing upright make sure your feet about hip-width apart. Now begin to lower the dumbbells close to the floor, the dumbbells can touch the floor and that is okay as well. Just make sure while lowering the dumbbells that you are leaning forward and bending your knees Now you will want to reverse that movement and bring yourself to a standing position. Repeat for reps.|
Dumbbell Row|You will want to grab a bench and a pair of dumbbells. Set the dumbbell on the floor beside the bench. Now facing the bench you want to place your left hand and left knee on top of it. While in this position is important to keep your back flat and parallel to the ground, with a slight bend in leg touching the ground. Now grip and grab the the dumbbell with your right hand. Now start to lift the dumbbell upwards by driving your elbow toward the ceiling. Now begint to lower the dumbbell back to the starting position. Repeat for reps, once finished switch the leg and arm that rest on the bench to your opposite arm and leg and use your opposite arm to lift the dumbbell.|
Dumbbell Shrug|While standing upright hold a pair of dumbbells at your sides. Now lift your shoulders straight up as high as possible. Then lower your shoulders back to your starting position with control. Repeat for reps.|
Floor Back Extension|Lie on the ground with your arms at a 90-degree angle to your sides. Make sure hands are by your head not your hips. Now you will want to stare at the ground that way your neck assumes a natural position. Begin to lift your upper body by using your lower back. If you want you can also stop at the top of the movement if you wish to do so, you will feel the lower back muscles working. Now lower your body back down in a slow and controlled motion Repeat for reps.|
Good Morning|Grab a barbell or a bar and place it on your upper back. Unrack the bar whenever you are ready, then take two steps back, and adjust your feet so they are slightly wider than hip-width. Now begint to lean forward by hinging your hips. It helps to imagine that you are trying to push your butt back as far back as possible. Now lean forward as far as you can all while maintaining a straight back, also make sure that the bar does not end up rolling forward. Your knees will bend slightly, but note that most of the movement in this exercise takes place in the hips. Now reverse the movement by extending your hips again and bringing your butt forward. Repeat for reps.|
Hang Clean|Grab a bar or barbell and grip it with an overhand grip, your grip should be about shoulder-width apart, and begint to lift the bar up to get into the starting position. Now you want to lower the bar along your thighs, you want it to sit at about knee-level, you will do this by bending your hips and knees. Now to reverse the movement you will lift the bar in a smooth but fast motion by extending your legs and knees simultaneously. While that happens you will then squat down again to receive the bar on the front of your shoulders. Once it is resting on the front of your shoulders you will stand up on straight legs again. Lower the bar back in front of you with control and repeat for reps.|
Hang Power Clean|Grab a bar or barbell and grip the bar with an overhand grip, the grip should be about shoulder-width apart, and lift it up to assume your starting position. You will want to have the bar sit along your thighs, down to about knee-level, by bending your hips and knees. Now to reverse this movement you will lift the bar in a smooth but fast motion by extending your legs and knees simultaneously.  Now you won't be squatting you will bend your knees slightly and receive the bar on the front of your shoulders. Once the bar is resting on your shoulders stand up on straight legs again. Once you are standing up you can now lower the bar with control back to your thighs. Repeat for reps.|
Hang Power Snatch|Grab a bar or barbell and grip the bar with a wide overhand grip, begint to lift the bar up to get into the starting position, you will want to rest the bar at your hip level or rest it in the hip crease. Lower the bar along your thighs, down to about knee-level, by bending your hips and knees. Now to reverse this movement you will lift the bar in a smooth but fast motion, by extending your legs and knees simultaneously. Once the bar has reached maximum speed, bend your knees slightly and "catch" the bar on straight arms over your head. Once the bar is straight above your head with straight arms and you have control begin to stand up straight. Once down lower the bar back to the levels of your hips and repeat for reps.|
Hang Snatch|Grab a bar or barbell and grip the bar with a wide overhand grip and begin to lift it up to get into the starting position, you will want to rest the bar at the height of your hips or rest it within the hip crease. Now to begin the exercise lower the bar along your thighs, down to about knee-level, by bending your hips and knees. Now to reverse the movement you will want to lift the bar in a smooth but fast motion, by extending your legs and knees simultaneously. Once the bar has reached maximum speed, you will want to squat down deep and "catch" the bar on straight arms over your head. Once your arms are straight over your head and you have control you will stand up straight. Once standing straight you will lower the bar back in front of you to your hip crease. Repeat for reps.|
Inverted Row|Place a barbell in a rack, make sure that is racked high enough for you to be able to hang below it in straight arms, with your heels on the floor. Now before you get into your starting position make sure you grip the bar with an overhand grip, your grip will be slightly wider than shoulder-width apart. Once in your starting position begint to pull yourself up as high as you can, or until your chest touches the bar. Once your chest has touched the bar or you have lifted yourself as high as you can you will begin to lower yourself back to the starting position with control. Repeat for reps.|
Inverted Row with Underhand Grip|Place a barbell in a rack, make sure it is high enough for you to be able to hang below it in straight arms, with your heels on the floor. Grip the bar with an underhand grip, make sure your grip is about shoulder-width apart. Now begint top lift yourself towards the bar and pull yourself up as high as you can, or until your chest touches the bar. Once you have lifted yourself as high as you can go, or if your chest touched the bar begin to lower yourself back to the starting position with control. Repeat for reps.|
Kettlebell Swing|Grab a kettlebell and place it on the ground, make sure it is located about one or two feet in front of you. Now begin to take a wide stance, and lean forward and grip the kettlebell. Now to begin swing the kettlebell back between your legs, then swing the kettlebell forward by extending your hip. Try your best to swing the kettlebell to about chest height. Repeat for reps and once finished place the kettlebell back on the ground.|
Lat Pulldown With Pronated Grip|Find the Lat Pulldown Machine in your gym and begin by adjusting the thigh pad to fit snugly against your thighs to prevent your body from lifting off the seat. Now grasp the bar above you with an overhand grip, and make sure your hands are slightly wider than shoulder-width apart. You want to make sure that you are sitting with your thighs under the thigh pad, keeping your chest up, and look at the bar. Begint to pull the bar down towards your chest, leading with your elbows. You will continue to pull until the bar is below your chin or touches your upper chest. While at the very bottom of this movement you want to make sure you are squeezing your shoulder blades together. Slowly release the bar back to its starting position and repeat for reps.|
Lat Pulldown with Supinated Grip|Find the Lat Pulldown Machine in your gym and begin by adjusting the thigh pad to fit snugly against your thighs to prevent your body from lifting off the seat. Begin to grip the bar so your palms are facing you, you also want to make sure they are about shoulder-width apart. You want to make sure that you sit down with your thighs under the leg support, keep your chest up, and look up at the bar. Now begin to pull the bar towards you and pull the bar down until it is below your chin or touches your upper chest. Once it has been pulled down below your chin you will want to slowly return the bar until your arms are fully extended. Repeat for reps.|
One-Handed Cable Row|Find a cable row machine in your gym and grab the handle and assume the starting position. Now begin to pull the handle towards the side of your abdomen, while you are pulling it backwards make sure that you are leaning back slightly. Now slowly return to the handle to the starting position by extending your arm and leaning forward.|
One-Handed Lat Pulldown|Sit down at the machine with your thighs under the leg support, grab the handle above you with one hand, make sure you keep your chest up, and look slightly up.  Begin to pull the handle towards the same side as the hand you are using to pull down with. Then you want to slowly return the handle until your arm is extended again. Repeat for reps and once finished switch sides to the other arm |
Pause Deadlift|Step yourself up close to the bar or barbell so that the bar is just over the middle of your foot. When ready grip the bar with an overhand grip and begin to lift the bar. However you want to pause the movement when the bar is just a few inches above the floor. Aftering pausing for a couple of seconds you will complete the exercise by pulling the bar close to your body, pull until you are completely standing upright. Now lower the bar back to the ground with control and repeat for reps.|
Pendlay Row|Grab a bar or barbell and lean forward by hinging in your hip, and grip the bar with an overhand grip. Now begin to pull the bar towards you, note that your goal is to not move your upper body whatsoever. Pull the bar as high as you can, so that it touches your abs or chest. Once at the highest point in your lift begin to lower the bar back to the ground with control. Repeat for reps.|
Power Clean|Grab a barbell or bar and step up close to the bar, make sure the bar is located so it sits just over the middle of your foot. Now to begin your exercise lean forward and grip the bar with an overhand grip, your grip on the bar should be just about shoulder-width apart. Now lift the bar in a smooth but fast motion. As you are lifting bend your knees slightly and you will end up lifting the bar so it rests on the front of your shoulders. When the bar is resting on your shoulders stand up on straight legs again. Now just lower the bar in front of you to the ground slowly with control. Repeat for reps.|
Power Snatch|Grab a barbell or bar and step up close to the bar, make sure the bar is located so it sits just the middle of your foot. Now to begin your exercise lean forward and grip the bar with a wide overhand grip, your hands should be close to the weight plates. Now begin to lower your hips closer to the floor. Now lift the bar in a smooth but fast motion, by extending your legs and knees simultaneously. Once the bar has reached maximum speed, bend your knees slightly and "catch" the bar on straight arms over your head. When the bar is above your head and you have control begin to stand up straight. Once you are stood up begin to lower the bar back to the ground slowly and with control Repeat for reps.|
Pull-Up|Find a pull up bar in your gym and grab the bar with your palms facing away from you, your grip should be slightly wider than your shoulder-width. Before lifting yourself make sure your chest is up, and look up at the bar. Begin to pull yourself up until your chin is over the bar or until the bar touches your upper chest. Now at the top of your pull-up begin to lower yourself with control until your arms are fully extended. Repeat for reps|
Rack Pull|Grab two blocks or weights to rest the bar to your desired height, you can also use a rack and adjust where the bar sits to your desired height. Now step up close to the bar, and make sure the bar is located so that it is just over the middle of your foot. Begin to lean forward and bend your knees slightly, and grip the bar. Grip the bar with an overhand grip and make sure your grip is just about shoulder width apart. Now begin to lift the bar and pull the bar close to your body with a straight back, until you are standing straight. Lower the bar back down so it sits on the rack or blocks you have place beside you. Repeat for reps.|
Seal Row|Grab a bench you can lie on, and lie on your stomach on the bench, raise the bench high enough so you can slide a barbell underneath it on the floor below you. Grab the bar with an overhand grip, and make sure your grip is slightly wider than shoulder-width. Begin to pull the bar towards you and pull it as high as you can, if you can have it touch the underside of the bench. With control, lower the bar back to the ground. Repeat for reps.|
Seated Machine Row|Adjust the machine to the correct settings and sit down in the starting position. Begin to pull the handles towards you, try to go as far backwards as far as possible. At the height your lift begin to slowly return the handles to the starting position again. Repeat for reps.|
Snatch|Grab a bar or barbell and step up close to the bar, make sure the bar is located so that it is just over the middle of your foot. Begin to lean forward and grip the bar with a wide overhand grip, your hands should be close to the weight plates. Now begin to lower your hips closer to the floor. Now in a smooth but fast motion lift the bar by extending your legs and knees simultaneously. Once the bar has reached maximum speed, squat down deep and "catch" the bar on straight arms over your head. Once you have control of the bar above your head begin to stand up straight. Once standing up you can now begin to lower the bar in front of you to the ground and make sure you do this with control. Repeat for reps.|
Snatch Grip Deadlift|Grab a bar or barbell and step up close to the bar, make sure the bar is located so it sits just over the middle of your foot. Grip the bar with a wide grip, your hands should be close to the weight plates. Now begin to lean forward and lift the bar. Pull the bar close to your body, while maintaining a straight back, pull the bar until you are standing straight. Once you are standing straight begin to lower the bar back to the ground. Repeat for reps.|
Stiff-Legged Deadlift|Grab a bar or barbell and step up close to the bar, make sure the bar is located so it sits just over the middle of your foot. Make sure to position your feet so that they are shoulder-width apart. Begin to lean forward with only a slight bend in your knees, and grip the bar. Grip the bar with an overhand grip that is about shoulder width apart. Begin to lift the bar. Pull the bar close to your body, with a straight back, until you have reached a standing position. While lifting make sure to keep your legs as straight as possible. Once you are at the height of your lift begin to lower the bar back to the ground with control, still keeping your legs straight.Repeat for reps.|
Straight Arm Lat Pulldown|Just to note you can use a pulley station for this exercise. You will want to grip the bar so your palms are facing away from you, make sure your grip is slightly wider than shoulder-width. Now while maintaining straight arms, push the bar down in front of you by contracting your lats. Now slowly return the bar back to the starting position. Repeat for reps.|
Sumo Deadlift|Grab a bar or barbell and step up close to the bar with wide foot placement. To start you want to make sure the bar is just over the middle of your foot. Make sure you stand so wide that your shins are vertical, so your feet should be located close to the weights on the side of the bar.  Grip the bar with an overhand grip and make sure your grip is about shoulder width apart. Begin to lift the bar and try to pull the bar close to your body, with a straight back, until you are standing straight. Lower the bar back to the ground with control and repeat for reps.|
T-Bar Row|Find the T-Bar machine in your gym and stand on the plate, lean forward, and grasp the bar with an overhand grip with straight arms. Begin to pull the bar towards you as high as possible. At the height of your lift lower the bar back to the starting position with control. Repeat for reps.|
Trap Bar Deadlift With High Handles|Find a trap bar in your gym. You will want to step into the bar’s opening, and position yourself so that the handles are in line with the middle of your feet. Begin to bend down and grip the handles. Make sure your palms are facing inwards towards you. Now lift the bar with a straight back, until you are standing straight. Once you are standing straight you can lower the bar back to the ground with control. Repeat for reps.|
Trap Bar Deadlift With Low Handles|Find a trap bar in your gym. You will want to step into the bar’s opening and position yourself so that the handles are in line with the middle of your feet. Make sure that the trap bars handles that raise up are facing the ground. Begin to bend down and grip the handles. Make sure your palms are facing inwards towards you. Begin to lift the bar with a straight back, until you are standing straight. Once you are standing straight lower the bar back to the ground with control. Repeat for reps.|
Banded Side Kicks|Find an elastic band and place the elastic band around your ankles. If need be fins something to hold onto with your hands to maintain your balance. Stand on one leg and bring your other leg out to your side as far as you can. Bring the leg back so it is just barely floating above the ground and repeat for reps.|
Cable Pull Through|Grab a rope handle and attach it to the lower position on a cable pulley. Turn your back against the pulley, with the cable between your thighs, and take a couple steps forward. Now you will want to bend forward by hinging in your hips, and let the rope handle move between your thighs. Extend your hips again, and return to a standing position. Repeat for reps.|
Clamshells|Find somewhere on the ground where it is comfortable for you to lie on your side, then bend your legs at about a 90-degree angle. You will want to tuck your pelvis inwards to properly activate your glutes. Now begin to lift the your leg that is facing the ceiling by using your glutes. Try to lift your leg as high as you can while maintaining contact with the glute muscles. Lower the leg back downwards with control until it touches your leg on the ground. Repeat for reps.|
Dumbbell Romanian Deadlift|Stand straight while holding a pair of dumbbells. Begin to lean forward by hinging in your hips. Keep your knees almost completely extended while you lean forward. Now begin to lean forward as far as possible without rounding your back. Keep in mind that you don't have to touch the dumbbells to the floor, but if you do that is absolutely fine. Now begin to reverse the movement and return to the starting position. Repeat for reps.|
Dumbbell Frog Pumps|Find some ground that is comfortable to lie on, lie on your back and bring the soles of your feet together. Keep in mind that your feet will stay together but your knees will go as outwards a possible almost like a frog. Try to bring your feet as close to your butt as possible then place a dumbbell on your hips. Make sure that your lower back and shoulders are pressed down on the floor before starting the movement. You will then press your feet down into the floor and squeeze your glutes to thrust your hips upwards. Make sure to take a very brief pause at the top and then begin to lower yourself back down with control. Repeat for reps.|
Fire Hydrants|Find some ground that is comfortable to stand on all fours, make sure you are staring at the floor. Now begin to lift your leg to the side by using your glute muscles. Try to lift your leg as high as possible while maintaining contact with your glutes. Slowly lower your leg back to the ground. Repeat for reps and then make sure to switch to the other leg on the other side.|
Frog Pumps|Find some ground that is comfortable to lie on, lie on your back and bring the soles of your feet together. Keep in mind that your feet will stay together but your knees will go as outwards a possible almost like a frog. Try to bring your feet as close to your butt as possible. Make sure that your lower back and shoulders are pressed down on the floor before starting the movement. You will then press your feet down into the floor and squeeze your glutes to thrust your hips upwards. Make sure to take a very brief pause at the top and then begin to lower yourself back down with control. Repeat for reps.|
Glute Bridge|Find some ground that is comfortable to lie down on and when you lie down make sure to keep your feet on the floor. You will want to tuck your pelvis inwards to properly activate the glutes. Now begin to push your hips towards the ceiling by using your glutes, continue to push your hips upward until your body forms a straight line from head to knees. When you are at the height of the exercise squeeze your glutes. Reverse the movement, and repeat for reps.|
Hip Adduction Against Band|Find a bench and sit down with an elastic band around your knees, they should be right below your kneecap and your feet should be about hip width apart. Begin to move your legs apart as far as possible, against the band. Then return with control to the starting position. Repeat for reps.|
Hip Adduction Machine|Find your Hip Adduction machine and adjust the machine to the appropriate settings, sit down, and grip the handles. Make sure the pads are located on the outer part of both of your knees. Then begin to push the pads out by moving your legs apart as far as possible. Reverse the motion until you are at the starting position. Repeat for reps.|
Hip Thrust|Find a bench you can use for this exercise and sit on the floor with your back against a the bench. Now roll the barbell or bar up over your thighs, until it is located over your hips. Plant your feet on the floor, and make sure they are about shoulder-width apart while having bent knees. Place your hands on the bar with an overhand grip to stabilize the bar that is resting on your hips. Push the bar towards the ceiling by extending your hips. Note that when you are at the top of the exercise your knees should form around a 90 degree angle. Lower the weight till your glutes are barely floating above the ground and repeat for reps.|
Hip Thrust Machine|Find the Hip Thrust machine in your gym and adjust the machine and get into position. Make sure the pad of the machine is resting on your hip and push the pad towards the ceiling by extending your hips. Begin to lower the weight back to its starting position and repeat for reps.|
Hip Thrust With Band Around Knees|Find a bench you can use for this exercise and sit on the floor with your back against the bench. Place an elastic band around your knees, just below your kneecap. Roll the barbell up over your thighs, until it is sitting on your hips. Plant your feet on the floor, make sure your feet are about shoulder width apart while bending your knees. Place your hands on the bar with an overhand grip to stabilize the bar resting on your hips. Begin to push the bar towards the ceiling by extending your hips. Note that your knees should form about a 90 degree angle at the height of your lift. Lower the weight so your glutes are just barely floating above the ground and repeat for reps.|
Lateral Walk With Band|Find an elastic band and place an elastic band around your ankles. Now begin to walk sideways, note to do this you have to bring your leg out against the band’s resistance. Now you can do this exercise in two ways. You can change your direction after every step, or you can continue to take steps in one direction for a certain amount of steps. Repeat for reps.|
Machine Glute Kickbacks|Find the Glute Kickback machine in your gym and adjust the machine to your body. Note that your knees should be facing forward and resting near the bottom of the padding. Then place your forearms on the upper padding and grip the handles. Next you want to make sure that you have the arm of the machine under your knee. Now keep your body still, and start to press your leg backwards and upwards by activating the glute. Try to push your legs as far up as you can without rotating your hips, then return to the starting position. Do all reps on one leg first, and then switch to the other leg and repeat.|
One-Legged Glute Bridge|Find a place where you can comfortably lie down on the ground, you will want one foot on the floor, and the other leg extended. You will need to tuck your pelvis inwards properly so you can activate the glutes. Begin to push your hips towards the ceiling by using the glute muscle in the bent leg. Push yourself upwards until your body forms a straight line from head to foot. At the height of your movement you will want to squeeze your glutes. Once you have finished your reps with that leg, switch legs and repeat for reps.|
One-Legged Hip Thrust|Find a chair, couch or a bench. You will begin to lean your back against your chair, sofa, or bench. Use whatever you have on hand and whatever you find to be the most comfortable. Plant one foot on the floor and lift the other leg up. Now begin to push your hips towards the ceiling, you want to use your glute muscle in the leg that is touching the floor. The leg that is pushing you up should form around a 90-degree angle at the height of your movement. Lower your hips back down to the starting position and repeat for reps.|
Romanian Deadlift|Grab a bar or barbell and get into the starting position by deadlifting a barbell off the floor, or by unracking it from a barbell rack. Begin to lean forward by hinging in your hips. While doing this try to keep your knees almost completely extended. Now lean forward as far as possible without rounding your back. Note that you don't have to touch the barbell to the floor, however if you do that is absolutely fine. Once you are standing straight begin to reverse the movement with control and return to your starting position. Repeat for reps.|
Single Leg Romanian Deadlift|Grab a bar or barbell and stand upright and hold the bar with your hands so they are about shoulder-width apart. Now lift one of your legs off the ground. It can rest on the ground as you stand there. Once you start the lift keep the back straight and start to lean forward by hinging at the hips. As you lean forward one of your legs will move backwards and upwards. Now lower yourself until you feel a stretch in the standing leg hamstring. Try to make sure to keep your hips still, the last thing you want is for the side with your lifted leg to start rotating upwards. Return to the starting position. Finish all your reps on one side first, and then repeat on the other leg.|
Standing Glute Kickback in Machine|Find the Standing Glute Kickback machine in your gym and adjust the machine to your body. Note that your knees should be facing forward and resting near the bottom of the padding. Place your forearms on the upper padding and grip the handles. Next you want to make sure that you have the arm of the machine under your knee. Keep your body still, and start to press your leg backwards and upwards by activating the glute. Try to push the leg as far up as you can without rotating your hips, then once at the height of your movement return your leg on the pad to the starting position. Do all your reps on one of your legs first, and then switch to the other leg.|
Step up|Stand in front of a bench, box or even a chair. Please make sure whatever you are stepping up to can hold your weight and is stable. Place one of your feet onto the object you will be stepping up to. Now step up to the object until your leg is straight. Lower yourself wit control until your other foot has touched the ground. Keep in mind you want to keep your other foot on the object at all times. Repeat for reps.|
Cable Crunch|Fasten a rope handle in the upper position on a cable pulley. Sit down on your knees and make sure you are a few feet away from the pulley and make sure you are facing the pulley. Bend your upper body forward and hold the ropes on either side of your head and then pull downwards until your head is barely floating above the ground. Now reverse the motion and return to the starting position with control.|
Crunch|Find a comfortable place to lie on your back, place your hands in front of your chest and make sure your knees are bent to about 90 degrees. Lift your upper body by contracting your abs and bending forward. Try to bend as far forward as possible while still keeping your lower back on the floor and then return to the starting position. Repeat for reps|
Dead Bug|Find a comfortable place to lie on your back, and keep your arms straight up towards the ceiling and your legs stacked over your hips, try to keep your knees bent at a 90-degree angle. Make sure that the lower back has contact with the surface. Now with control straighten out your right leg and lower it towards the floor, while lowering your leg you will lower your opposite arm over your head as far as you can. While this is happening keep the lower back in contact with the floor the entire time. Reverse the movement, and repeat for reps and make sure to switch legs and arms to perform reps for the other side.|
Hanging Leg Raise|Jump up and grab a bar, make sure you are hanging high enough from the ground so that you can hang from it with straight legs. Now begin to lift your legs as high as you can in front of you, make sure you're not swinging when performing this action. Begin to lower your legs again, with control. Repeat for reps.|
Hanging Knee Raise|Jump up and grab a bar, make sure you are hanging high enough from the ground so that you can hang from it with straight legs. Now begin to lift your knees as high as you can in front of you. Try to line your knee up with your chest and while performing the motion make sure you aren't swinging. Lower your legs again, with control and repeat for reps.|
Hanging Sit-Up|Try to find a hanging sit-up machine in your gym. Now begin to climb into position and lower your upper body down to the starting position, try to keep your hands crossed over your chest. Lift your upper body upwards and then at the top of your movement begin to reverse the motion and lower yourself down to the starting position again. Repeat for reps.|
High to Low Wood Chop with Band|Grab an elastic band and fasten it high up. Grip the band with both hands, take about a step away from the band, and stand sideways to the band’s anchor point. With almost straight arms, make a sweeping, chopping-like movement diagonally downward. Return to the starting position in a controlled manner. Repeat for reps.|
Horizontal Wood Chop with Band|Grab an elastic band and fasten the band at shoulder height. Grip the band with both hands, take about a step away from the band, and stand sideways to the band’s anchor point. With almost straight arms, make a sweeping, horizontal movement to your other side. Return to the starting position in a controlled manner. Repeat for reps.|
Kneeling Ab Wheel Roll-Out|Grab a soft pad to place your knees, and place the ab wheel on the floor in front of you. Try to roll out as far as you can, and while doing so try to maintain a straight back throughout the entire movement. Reverse the movement with control, and return to the starting position. Repeat for reps. |
Kneeling Plank|Find a comfortable place on the ground where you can lie on your elbows and knees. Push your body upwards like a push-up but instead of going downwards again you will sit at the top of that exercise. Try to form and hold a straight line from your head to hips. Once you have planked for a specific amount of time, rest up and repeat for reps|
Kneeling Side Plank|Find a comfortable place on the ground where you can stand on your side, and you will lean against one elbow and your knee. Your core should be facing the same direction your head is facing. Now try to form and hold a straight line from your head to knees. Once you have planked for a specific amount of time, rest up and repeat for reps.|
Lying Leg Raise|Find a comfortable place to lie down on the ground, you will have your back on the floor, and your arms at your sides. With straight legs, lift your legs until they are pointing straight up, keep in mind that you want to keep your lower back attached to floor. Lower your legs again, with control. Repeat for reps.|
Lying Windshield Wiper|Find a comfortable place to lie down on your back, make sure your arms are out to your sides and your legs straight up in the air. Begin to slowly lower your legs down to one side, while this happening try to keep your legs as straight as possible. Then bring your legs back to your starting position so they are straight up in the air again and lower your legs to the other side. Reverse this motion again and repeat for reps.|
Lying Windshield Wiper with Bent Knees|Find a comfortable place to lie down on your back, make sure your arms are out to your sides and your legs straight up in the air. After you have assumed that position bend your knees to 90 degrees. Begin to slowly lower your legs down to one side. Then bring your legs back to your starting position and lower your legs to the opposite side. Reverse this motion again and repeat for reps.|
Machine Crunch|Find the crunch machine in your gym and adjust the machine to the appropriate settings for you, sit down and grip the handles. Bend forward as far as you can then reverse the motion and return to the starting position with control. Repeat for reps|
Mountain Climbers|Get into the plank position and make sure your hands are about shoulder-width apart, try to keep your back as flat as possible. Begin by pulling your right knee into your chest as far as you can. Then switch legs, this means you will pull your opposite knee inwards towards your chest while your other knee outwards to its starting position. While performing your mountain climbers keep your hips down and run the knees in and out as far and as fast as you can. Repeat for reps.|
Oblique Crunch|Find a comfortable place to lie on your back, now position your hands on the side of your head, and make sure that with your feet planted bend your knees to about a 90 degree angle. Now begin to lift your upper body diagonally, do this in a way so that your elbow and shoulder on one side of your body move towards the knee that is opposite of your elbow/shoulder. Bend as far as possible and then return to the starting position. Repeat for reps and remember to switch which elbow comes up everytime.|
Oblique Sit-Up|Grab two dumbbells and find a comfortable place to lie on your back, place your hands behind your head, and bend your knees to about 90 degrees. Use the dumbbells you grabbed and stick your feet underneath them, you want to do this so your feet don't lift from the ground. Now begin to lift your upper body diagonally by bending forward, bend forwards until your right elbow touches your left leg, or vice versa. Then return to the starting position. Remember that you will want to switch which elbow comes upwards in this exercise, repeat for reps.|
Plank|Find a comfortable place to plank, now stand on your elbows and feet. Now try to form and hold a straight line from your head to feet and hold that for as long as you desired. Repeat for reps.|
Side Plank|Find a comfortable place on the ground to stand on your side, leaning against one elbow. Place the foot that is not touching the ground in front of the top leg in front of the other foot. Now try to form and hold a straight line from your head to your feet. Hold that for as long as you can, repeat for reps.|
Sit-Up|Grab two dumbbells or a any weight to keep down your legs while performing the exercise. Find a comfortable place to lie on your back, with your hands in front of your chest and your knees bent to about 90 degrees. Use the weight you grabbed and stick your feet under it so they don't lift from the ground. Begin to lift your upper body by bending forward. Try to bend as far forward as possible, and then return to the starting position. Repeat for reps.|
Eccentric Heel Drop|Grab a stair step or even a thick weight plate, make sure you can stand on this elevated surface stably. If need be find something that you can hold on to for balance. Begin to raise your heels and extend your feet by using both your legs. Lift one leg in the air, and then lower yourself with control standing on only one foot. Make sure to switch to the opposite foot and repeat for reps.|
Heel Raise|Grab a solid surface that you can stand on and make sure it slightly elevated. If need be find something to hold on to for balance. Now begin to raise your heels by using your calves. Now lower yourself with control, and repeat for reps.|
Seated Calf Raise|Find the seated calf raise machine in your gym and sit down on the seat, and adjust the knee pads to your correct height. Now place your toes and the ball of your feet on the foot support. Begin to lower the weight by bending your ankles in a controlled movement. Then push the weight up by extending your ankles. Repeat for reps.|
